Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1972-08-25,0.0114036433175786,0.0116229955025532,0.0114036433175786,0.0115788020193576,7526400,0.0,0.0
1972-08-28,0.0115788016798779,0.0116666505679832,0.0115351462736725,0.0115351462736725,2918400,0.0,0.0
1972-08-29,0.0114914849104476,0.0114914849104476,0.0114036360755562,0.0114036360755562,5836800,0.0,0.0
1972-08-30,0.0114036360755562,0.0114036360755562,0.0113157872406648,0.0114036360755562,1228800,0.0,0.0
1972-08-31,0.0113157881196022,0.0113157881196022,0.0112279392778873,0.0112279392778873,2611200,0.0,0.0
1972-09-01,0.0112721364700613,0.0113157918676733,0.0112721364700613,0.0113157918676733,768000,0.0,0.0
1972-09-05,0.0113157881196022,0.0113157881196022,0.0112279392778873,0.0112279392778873,1689600,0.0,0.0
1972-09-06,0.0113157918676733,0.0113157918676733,0.0113157918676733,0.0113157918676733,768000,0.0,0.0
1972-09-07,0.011315786843605,0.011315786843605,0.0112721314653754,0.0112721314653754,3532800,0.0,0.0
1972-09-08,0.0112279473285595,0.0112279473285595,0.0111842919141054,0.0111842919141054,1996800,0.0,0.0
1972-09-11,0.0112721314653754,0.0112721314653754,0.0112721314653754,0.0112721314653754,2764800,0.0,0.0
1972-09-12,0.0112721314653754,0.0112721314653754,0.0112721314653754,0.0112721314653754,1843200,0.0,0.0
1972-09-13,0.0112721314653754,0.0112721314653754,0.0112721314653754,0.0112721314653754,460800,0.0,0.0
1972-09-14,0.0112721313424651,0.0113594410941004,0.0112279378893678,0.0113594410941004,3840000,0.0,0.0
1972-09-15,0.011315786843605,0.011315786843605,0.0112721314653754,0.0112721314653754,1536000,0.0,0.0
1972-09-18,0.0113157918676733,0.011359446261413,0.0113157918676733,0.0113157918676733,3225600,0.0,0.0
1972-09-19,0.0112721327364499,0.0112721327364499,0.011184283894735,0.0112279392778873,9369600,0.0,0.0
1972-09-20,0.0111406305804848,0.0111406305804848,0.0111406305804848,0.0111406305804848,153600,0.0,0.0
